,Player,Runs_scored_2022,HS_2022,Batting_avg_2022,Ballsfaced_2022,Batting_strikerate_2022,4s_2022,6s_2022,Wkts_taken_2022,Overs_bowled_2022,Runs_given_2022,Bowling_avg_2022,Bowling_economy_2022,bowling_strikerate_2022,4w_2022,5w_2022,Matches_in_2022,Runs_scored_2023,HS_2023,Batting_avg_2023,Ballsfaced_2023,Batting_strikerate_2023,4s_2023,6s_2023,Wkts_taken_2023,Overs_bowled_2023,Runs_given_2023,Bowling_avg_2023,Bowling_economy_2023,bowling_strikerate_2023,4w_2023,5w_2023,Matches_in_2023,Runs_scored_2024,HS_2024,Batting_avg_2024,Ballsfaced_2024,Batting_strikerate_2024,4s_2024,6s_2024,Wkts_taken_2024,Overs_bowled_2024,Runs_given_2024,Bowling_avg_2024,Bowling_economy_2024,bowling_strikerate_2024,4w_2024,5w_2024,Matches_in_2024
0,Aaron Finch,86,58,17.2,61,140.98,10,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Abhijeet Tomar,4,4,4,8,50,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Ajinkya Rahane,133,44,19,128,103.9,14,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Aman Khan,5,5,5,3,166.66,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Andre Russell,335,70,37.22,192,174.47,18,32,17,28.1,278,16.35,9.86,9.94,1,0,14,227,42,20.64,156,145.51,13,18,7,15.1,172,24.57,11.34,13,0,0,14,222,64,31.71,120,185,20,16,19,29.2,295,15.52,10.05,9.26,0,0,15
5,Angkrish Raghuvanshi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,54,23.29,105,155.23,16,8,0,0,0,0,0,0,0,0,10
6,Anukul Roy,0,0,0,0,0,0,0,1,7,55,55,7.85,42,0,0,2,23,13,11.5,19,121.05,3,0,3,8,65,21.66,8.12,16,0,0,4,3,3,0,3,100,0,0,0,0,0,0,0,0,0,0,4
7,B Indrajith,21,15,7,30,70,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,David Wiese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,21,11,190.9,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Harshit Rana,2,2,2,2,100,0,0,1,5,51,51,10.2,30,0,0,2,0,0,0,0,0,0,0,5,17,147,29.4,8.64,20.4,0,0,6,0,0,0,0,0,0,0,19,42.1,383,20.15,9.08,13.31,0,0,13
10,Jagadeesan Narayan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,36,14.83,81,109.87,14,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Jason Roy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,61,35.63,188,151.59,36,12,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Kulwant Khejroliya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.2,64,32,14.76,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Litton Das,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,100,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Lockie Ferguson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.4,96,96,12.52,46,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Mandeep Singh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,4.67,16,87.5,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Manish Pandey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,42,31,135.48,2,2,0,0,0,0,0,0,0,0,1
17,Mitchell Starc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,4.5,11,81.81,1,0,17,41.5,444,26.11,10.61,14.76,1,0,14
18,Nitish Rana,361,57,27.77,251,143.82,29,22,0,0,0,0,0,0,0,0,14,413,75,31.77,293,140.95,39,20,3,8.5,75,25,8.49,17.66,0,0,14,42,33,21,34,123.52,5,1,0,0,0,0,0,0,0,0,2
19,Pat Cummins,63,56,15.75,24,262.5,5,6,7,19.5,212,30.28,10.68,17,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Phil Salt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,89,39.55,239,182,50,24,0,0,0,0,0,0,0,0,12
21,Rahmanullah Gurbaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,81,20.64,170,133.52,17,15,0,0,0,0,0,0,0,0,11,62,39,31,46,134.78,7,4,0,0,0,0,0,0,0,0,3
22,Ramandeep Singh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,35,31.25,62,201.61,5,12,0,0,0,0,0,0,0,0,15
23,Rasikh Salam,7,7,7,6,116.66,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Rinku Singh,174,42,34.8,117,148.71,17,7,0,0,0,0,0,0,0,0,7,474,67,59.25,317,149.52,31,29,0,0,0,0,0,0,0,0,14,168,26,18.67,113,148.67,13,8,0,0,0,0,0,0,0,0,15
25,Sam Billings,169,36,24.14,138,122.46,9,10,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Shardul Thakur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,68,14.13,70,161.42,13,4,7,21,220,31.42,10.47,18,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Sheldon Jackson,23,8,5.75,26,88.46,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Shivam Mavi,3,2,1.5,7,42.85,0,0,5,22,227,45.4,10.31,26.4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Shreyas Iyer,401,85,30.85,298,134.56,41,11,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,58,39,239,146.86,34,14,0,0,0,0,0,0,0,0,15
30,Sunil Narine,71,22,8.88,40,177.5,6,6,9,56,312,34.66,5.57,37.33,0,0,14,21,7,3,25,84,2,1,11,48,383,34.81,7.97,26.18,0,0,14,488,109,34.86,270,180.74,50,33,17,55,368,21.64,6.69,19.41,0,0,15
31,Suyash Sharma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,39,321,32.1,8.23,23.4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Tim Southee,2,1,0.5,12,16.66,0,0,14,35,275,19.64,7.85,15,0,0,9,0,0,0,0,0,0,0,2,6,79,39.5,13.16,18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Umesh Yadav,55,21,13.75,40,137.5,4,4,16,48,339,21.18,7.06,18,1,0,12,19,6,9.5,18,105.55,1,0,1,19,189,189,9.94,114,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Vaibhav Arora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,150,0,0,5,16,146,29.2,9.12,19.2,0,0,5,1,1,0,1,100,0,0,11,30,276,25.09,9.2,16.36,0,0,10
35,Varun Chakaravarthy,12,10,0,18,66.66,2,0,6,39,332,55.33,8.51,39,0,0,11,1,1,1,9,11.11,0,0,20,52.4,429,21.45,8.14,15.8,1,0,14,0,0,0,0,0,0,0,21,50,402,19.14,8.04,14.28,0,0,15
36,Venkatesh Iyer,182,50,16.55,169,107.69,17,7,0,0,0,0,0,0,0,0,12,404,104,28.86,277,145.84,32,21,0,0,0,0,0,0,0,0,14,370,70,46.25,233,158.79,35,19,0,0,0,0,0,0,0,0,15
