id,striker,runsin2021,runsin2022,runsin2023,runsin2024,ballsfacedin2021,ballsfacedin2022,ballsfacedin2023,ballsfacedin2024,wicketsin2021,wicketsin2022,wicketsin2023,wicketsin2024,ballsbowledin2021,ballsbowledin2022,ballsbowledin2023,ballsbowledin2024,givenin2021,givenin2022,givenin2023,givenin2024,totalrunsscored,totalballsfaced,totalwickets,totalballsbowled,totalrunsgiven,batting_strike_rate,oversbowled_clean,economyrate
148,MG Bracewell,0,0,58,0,0,0,49,0,0,0,6,0,0,0,66,0,0,0,95,0,58,49,6,66,95,118.37,11,8.64
149,MJ Santner,0,22,2,14,0,30,4,18,0,4,3,2,0,114,72,54,0,140,83,64,38,52,9,240,287,73.08,40,7.18
150,MJ Suthar,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,50,0,
151,MK Lomror,94,86,135,125,76,60,101,74,1,0,0,0,43,12,12,9,48,18,17,21,440,311,1,76,104,141.48,12.4,8.39
152,MK Pandey,193,88,160,42,159,84,149,33,0,0,0,0,0,0,0,0,0,0,0,0,483,425,0,0,0,113.65,0,
153,MM Ali,303,244,124,128,235,183,92,105,6,8,9,2,135,146,157,49,133,163,202,72,799,615,25,487,570,129.92,81.1,7.03
154,MM Sharma,0,0,0,2,0,0,1,16,0,0,27,13,0,0,268,245,0,0,366,442,2,17,40,513,808,11.76,85.3,9.47
155,MP Stoinis,75,156,408,388,59,116,281,272,2,4,5,4,50,44,69,87,81,81,106,135,1027,728,15,250,403,141.07,41.4,9.73
156,MR Marsh,0,251,128,61,0,192,97,41,0,4,12,1,0,76,132,54,0,106,185,109,440,330,17,262,400,133.33,43.4,9.22
157,MS Dhoni,114,232,104,161,109,198,63,82,0,0,0,0,0,0,0,0,0,0,0,0,611,452,0,0,0,135.18,0,
158,MS Wade,0,157,0,4,0,145,0,7,0,0,0,0,0,0,0,0,0,0,0,0,161,152,0,0,0,105.92,0,
159,MW Short,0,0,117,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,117,99,0,0,0,118.18,0,
160,Mandeep Singh,15,18,14,0,14,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,47,54,0,0,0,87.04,0,
161,Mayank Dagar,0,0,0,0,0,0,0,1,0,0,1,1,0,0,66,72,0,0,83,129,0,1,2,138,212,0,23,9.22
162,Mohammad Nabi,20,0,0,35,9,0,0,31,0,0,0,2,24,0,0,74,54,0,0,111,55,40,2,98,165,137.5,16.2,10.19
163,Mohammed Shami,13,0,5,0,17,0,8,0,15,20,28,0,285,378,403,0,362,522,561,0,18,25,63,1066,1445,72,177.4,8.15
164,Mohammed Siraj,20,30,1,12,25,33,2,9,9,9,19,15,271,325,329,350,331,564,449,545,63,69,52,1275,1889,91.3,212.3,8.9
165,Mohit Rathee,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,50,0,
166,Mohsin Khan,0,23,0,2,0,19,7,1,0,14,3,10,0,206,64,237,0,219,119,395,25,27,27,507,733,92.59,84.3,8.7
167,Mujeeb Ur Rahman,1,0,0,0,1,0,0,0,2,0,0,0,26,0,0,0,33,0,0,0,1,1,2,26,33,100,4.2,7.86
168,Mukesh Choudhary,0,6,0,0,0,6,0,0,0,16,0,0,0,291,0,7,0,444,0,28,6,6,16,298,472,100,49.4,9.55
169,Mukesh Kumar,0,0,7,3,0,0,10,10,0,0,7,17,0,0,197,223,0,0,341,400,10,20,24,420,741,50,70,10.59
170,Mustafizur Rahman,8,3,1,0,14,5,1,0,12,8,1,14,273,199,42,225,400,259,79,349,12,20,35,739,1087,60,123.1,8.83
171,N Jagadeesan,0,40,89,0,0,40,84,0,0,0,0,0,0,0,0,0,0,0,0,0,129,124,0,0,0,104.03,0,
172,N Pooran,85,306,358,499,76,228,217,296,0,0,0,0,0,0,0,0,0,0,0,0,1248,817,0,0,0,152.75,0,
173,N Rana,246,361,413,42,221,259,303,35,0,0,3,0,12,12,54,0,12,23,76,0,1062,818,3,78,111,129.83,13,8.54
174,N Wadhera,0,0,241,109,0,0,171,90,0,0,0,0,0,0,0,0,0,0,0,0,350,261,0,0,0,134.1,0,
175,NA Saini,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,40,0,
176,NM Coulter-Nile,4,1,0,0,5,2,0,0,7,0,0,0,121,20,0,0,136,52,0,0,5,7,7,141,188,71.43,23.3,8.07
177,NT Ellis,18,0,1,0,17,2,7,0,1,3,13,1,68,40,233,24,94,63,351,24,19,26,18,365,532,73.08,60.5,8.79
178,Naman Dhir,0,0,0,140,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,140,84,0,0,0,166.67,0,
179,Navdeep Saini,0,2,0,0,0,2,0,0,0,3,3,0,12,39,25,0,27,77,41,0,2,2,6,76,145,100,12.4,11.69
180,Naveen-ul-Haq,0,0,16,2,0,0,22,4,0,0,11,14,0,0,175,232,0,0,242,391,18,26,25,407,633,69.23,67.5,9.38
181,Nithish Kumar Reddy,0,0,0,303,0,0,0,221,0,0,0,3,0,0,31,87,0,0,55,163,303,221,3,118,218,137.1,19.4,11.24
182,Noor Ahmad,0,0,8,5,0,0,9,9,0,0,16,8,0,0,299,214,0,0,397,310,13,18,24,513,707,72.22,85.3,8.29
183,OC McCoy,0,8,0,0,0,5,0,0,0,11,0,0,0,173,7,0,0,265,14,0,8,5,11,180,279,160,30,9.3
184,OF Smith,0,51,0,0,0,50,0,0,0,6,0,0,0,95,0,0,0,185,0,0,51,50,6,95,185,102,15.5,11.94
185,P Dubey,0,0,16,0,0,0,20,0,0,0,1,0,0,0,19,0,0,0,20,0,16,20,1,19,20,80,3.1,6.45
186,P Simran Singh,19,14,358,334,23,11,245,216,0,0,0,0,0,0,0,0,0,0,0,0,725,495,0,0,0,146.46,0,
187,PBB Rajapaksa,0,206,71,0,0,137,64,0,0,0,0,0,0,0,0,0,0,0,0,0,277,201,0,0,0,137.81,0,
188,PD Salt,0,0,218,435,0,0,135,250,0,0,0,0,0,0,0,0,0,0,0,0,653,385,0,0,0,169.61,0,
189,PJ Cummins,93,63,0,136,59,24,0,99,6,7,0,18,120,127,0,375,194,238,0,586,292,182,31,622,1018,160.44,103.4,9.85
190,PJ Sangwan,0,2,0,0,0,6,0,0,0,3,0,0,0,56,0,0,0,69,0,0,2,6,3,56,69,33.33,9.2,7.5
191,PK Garg,72,46,22,0,75,33,23,0,0,0,0,0,0,0,0,0,0,0,0,0,140,131,0,0,0,106.87,0,
192,PN Mankad,0,4,93,0,0,1,74,0,0,0,0,0,0,0,0,0,0,0,0,0,97,75,0,0,0,129.33,0,
193,PP Chawla,0,0,25,15,2,0,22,15,1,0,22,13,24,0,371,215,38,0,508,321,40,39,36,610,867,102.56,101.4,8.55
194,PP Shaw,405,283,106,198,265,193,90,125,0,0,0,0,0,0,0,0,0,0,0,0,992,673,0,0,0,147.4,0,
195,PVD Chameera,0,43,0,0,0,32,0,0,0,9,0,0,0,278,0,19,0,420,0,51,43,32,9,297,471,134.38,49.3,9.55
196,PWH de Silva,1,38,33,0,2,48,30,0,0,26,9,0,36,346,175,0,60,453,262,0,72,80,35,557,775,90,92.5,8.38
197,Q de Kock,295,508,143,250,255,350,103,194,0,0,0,0,0,0,0,0,0,0,0,0,1196,902,0,0,0,132.59,0,
198,R Ashwin,37,191,67,86,38,140,55,76,6,12,14,9,236,419,309,346,284,527,388,499,381,309,41,1310,1698,123.3,218.2,7.78
199,R Dhawan,0,37,20,0,0,41,12,0,0,6,1,0,0,119,42,19,0,177,68,44,57,53,7,180,289,107.55,30,9.63
200,R Parag,66,183,78,573,67,136,68,407,0,1,0,0,20,26,0,19,51,61,0,28,900,678,1,65,140,132.74,10.5,13.33
201,R Powell,0,250,7,103,0,174,9,71,0,0,1,0,0,7,14,0,0,18,20,0,360,254,1,21,38,141.73,3.3,11.52
202,R Ravindra,0,0,0,222,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,222,146,0,0,0,152.05,0,
203,R Sai Kishore,0,0,0,13,0,0,0,6,0,6,0,7,0,98,0,93,0,125,0,140,13,6,13,191,265,216.67,31.5,8.41
204,R Sanjay Yadav,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,
205,R Shepherd,0,58,0,57,0,43,1,24,0,3,0,1,0,57,0,76,0,103,0,170,115,68,4,133,273,169.12,22.1,12.35
206,R Tewatia,134,217,87,188,129,156,61,139,8,0,0,0,199,36,14,0,299,76,16,0,626,485,8,249,391,129.07,41.3,9.47
207,RA Bawa,0,11,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0,0,0,78.57,0,
208,RA Jadeja,201,116,190,267,153,105,138,191,13,5,20,8,288,203,348,285,338,261,444,376,774,587,46,1124,1419,131.86,187.2,7.58
209,RA Tripathi,339,413,273,165,251,271,217,121,0,0,0,0,0,0,0,0,0,0,0,0,1190,860,0,0,0,138.37,0,
210,RD Chahar,6,77,0,21,8,70,10,15,9,14,8,10,213,290,301,189,255,386,394,284,104,103,41,993,1319,100.97,165.3,7.98
211,RD Gaikwad,630,368,590,583,465,298,411,425,0,0,0,0,0,0,0,0,0,0,0,0,2171,1599,0,0,0,135.77,0,
212,RG Sharma,319,268,332,417,260,234,258,293,0,0,0,0,0,0,0,0,0,0,0,0,1336,1045,0,0,0,127.85,0,
213,RJ Gleeson,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,51,0,0,0,77,2,2,1,51,77,100,8.3,9.28
214,RJW Topley,0,0,0,3,0,0,0,6,0,0,1,4,0,0,12,95,0,0,14,173,3,6,5,107,187,50,17.5,10.69
215,RK Bhui,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,33.33,0,
216,RK Singh,0,174,474,168,0,125,333,117,0,0,0,0,0,0,0,0,0,0,0,0,816,575,0,0,0,141.91,0,
217,RM Patidar,63,333,0,395,56,232,0,237,0,0,0,0,0,0,0,0,0,0,0,0,791,525,0,0,0,150.67,0,
218,RP Meredith,0,0,0,0,0,1,2,0,3,8,7,0,73,181,126,0,126,267,220,0,0,3,18,380,613,0,63.2,9.7
219,RR Pant,353,340,0,446,293,234,0,296,0,0,0,0,0,0,0,0,0,0,0,0,1139,823,0,0,0,138.4,0,
220,RR Rossouw,0,0,209,211,0,0,148,122,0,0,0,0,0,0,0,0,0,0,0,0,420,270,0,0,0,155.56,0,
221,RV Patel,25,6,49,0,29,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,80,76,0,0,0,105.26,0,
222,RV Uthappa,115,230,0,0,86,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,267,0,0,0,129.21,0,
223,Rahmanullah Gurbaz,0,0,227,62,0,0,178,50,0,0,0,0,0,0,0,0,0,0,0,0,289,228,0,0,0,126.75,0,
224,Ramandeep Singh,0,45,0,125,0,42,0,64,0,6,0,0,0,41,0,4,0,61,0,9,170,106,6,45,70,160.38,7.3,9.59
225,Rashid Khan,66,91,130,102,62,44,66,75,14,19,27,10,293,386,407,262,366,442,567,377,389,247,70,1348,1752,157.49,224.4,7.81
226,Rasikh Salam,0,7,0,28,0,6,0,30,0,0,0,9,0,24,0,156,0,28,0,282,35,36,9,180,310,97.22,30,10.33
227,Ravi Bishnoi,1,0,20,4,5,1,28,6,12,13,16,10,220,340,312,270,255,484,406,393,25,40,51,1142,1538,62.5,190.2,8.09
228,S Dhawan,493,460,373,152,412,395,275,125,0,0,0,0,0,0,0,0,0,0,0,0,1478,1207,0,0,0,122.45,0,
229,S Dube,205,289,418,396,183,194,277,259,0,0,0,1,25,14,0,6,38,46,0,14,1308,913,1,45,98,143.26,7.3,13.42
230,S Gopal,7,9,0,0,5,7,0,0,0,1,0,3,24,18,0,42,44,34,0,67,16,12,4,84,145,133.33,14,10.36
231,S Kaul,8,0,0,0,8,0,0,0,7,0,0,0,181,24,0,0,260,43,0,0,8,8,7,205,303,100,34.1,8.89
232,SA Abbott,0,7,0,0,0,5,0,0,0,1,0,0,0,27,0,0,0,50,0,0,7,5,1,27,50,140,4.3,11.63
233,SA Yadav,230,303,605,345,165,210,340,209,0,0,0,0,0,0,0,0,0,0,0,0,1483,924,0,0,0,160.5,0,
234,SB Dubey,0,0,0,33,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,33,21,0,0,0,157.14,0,
235,SD Hope,0,0,0,183,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,183,125,0,0,0,146.4,0,
236,SE Rutherford,0,33,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,52,0,0,0,63.46,0,
237,SH Johnson,0,0,0,6,0,0,0,7,0,0,0,4,0,0,0,99,0,0,0,162,6,7,4,99,162,85.71,16.3,9.94
238,SK Raina,98,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,87,0,0,0,112.64,0,
239,SM Curran,17,0,276,270,10,0,213,230,9,0,10,16,197,0,299,254,323,0,517,436,563,453,35,750,1276,124.28,125,10.21
240,SN Khan,0,91,53,0,4,69,62,0,0,0,0,0,0,0,0,0,0,0,0,0,144,135,0,0,0,106.67,0,
241,SN Thakur,5,120,113,21,6,90,72,18,19,15,7,5,364,315,132,197,509,527,230,328,259,186,46,1008,1594,139.25,168,9.49
242,SO Hetmyer,242,314,299,113,153,221,205,72,0,0,0,0,0,0,0,0,0,0,0,0,968,651,0,0,0,148.69,0,
243,SP Jackson,0,23,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26,0,0,0,88.46,0,
244,SP Narine,62,71,21,488,51,40,28,292,16,9,11,17,344,342,296,334,385,333,404,389,642,411,53,1316,1511,156.2,219.2,6.89
245,SPD Smith,152,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,136,0,0,0,111.76,0,
246,SS Iyer,175,401,0,351,181,310,0,250,0,0,0,0,0,0,0,0,0,0,0,0,927,741,0,0,0,125.1,0,
247,SS Prabhudessai,0,67,35,24,0,62,32,19,0,0,0,0,0,0,0,0,0,0,0,0,126,113,0,0,0,111.5,0,
248,SS Tiwary,115,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,99,0,0,0,116.16,0,
249,SV Samson,361,458,362,531,303,321,240,367,0,0,0,0,0,0,0,0,0,0,0,0,1712,1231,0,0,0,139.07,0,
250,SW Billings,0,169,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,143,0,0,0,118.18,0,
251,SZ Mulani,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,100,0,
252,Sachin Baby,7,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,0,0,0,41.18,0,
253,Sameer Rizvi,0,0,0,51,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,51,43,0,0,0,118.6,0,
254,Sandeep Sharma,8,0,2,0,7,0,7,0,3,2,10,13,127,126,290,236,174,166,414,325,10,14,28,779,1079,71.43,129.5,8.33
255,Sanvir Singh,0,0,11,14,0,0,9,13,0,0,0,0,0,0,0,0,0,0,0,0,25,22,0,0,0,113.64,0,
256,Saurav Chauhan,0,0,0,18,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,18,16,0,0,0,112.5,0,
257,Shahbaz Ahmed,44,219,42,215,42,197,41,173,4,4,1,7,66,220,42,166,71,356,95,285,520,453,16,494,807,114.79,82.2,9.82
258,Shakib Al Hasan,35,0,0,0,35,0,0,0,2,0,0,0,109,0,0,0,134,0,0,0,35,35,2,109,134,100,18.1,7.4
259,Shashank Singh,0,69,0,354,0,47,0,225,0,0,0,1,0,13,0,6,0,21,0,5,423,272,1,19,26,155.51,3.1,8.39
260,Shivam Mavi,25,3,0,0,21,8,0,0,11,5,0,0,204,142,0,0,262,241,0,0,28,29,16,346,503,96.55,57.4,8.76
261,Shivam Singh,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,66.67,0,
262,Shubman Gill,430,483,890,426,378,374,582,295,0,0,0,0,0,0,0,0,0,0,0,0,2229,1629,0,0,0,136.83,0,
263,Sikandar Raza,0,0,139,43,0,0,104,39,0,0,3,0,0,0,76,12,0,0,137,22,182,143,3,88,159,127.27,14.4,11.04
264,Simarjeet Singh,0,7,0,0,0,8,0,0,0,4,0,5,0,113,0,80,0,157,0,131,7,8,9,193,288,87.5,32.1,8.97
265,Sumit Kumar,0,0,0,18,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,18,26,0,0,0,69.23,0,
266,Swapnil Singh,0,0,2,37,0,0,4,22,0,0,0,6,0,0,12,92,0,0,18,135,39,26,6,104,153,150,17.2,8.9
267,T Kohler-Cadmore,0,0,0,48,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,48,54,0,0,0,88.89,0,
268,T Shamsi,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,50,0,
269,T Stubbs,0,2,25,378,0,4,31,204,0,0,1,3,0,0,12,13,0,0,14,16,405,239,4,25,30,169.46,4.1,7.32
270,TA Boult,1,40,16,14,4,30,17,16,10,16,13,16,267,387,235,333,356,529,332,471,71,67,55,1222,1688,105.97,203.4,8.3
271,TG Southee,3,2,0,0,5,12,0,0,3,14,2,0,74,220,36,0,97,303,79,0,5,17,19,330,479,29.41,55,8.71
272,TH David,1,186,231,241,3,91,155,168,0,0,0,0,0,0,0,0,0,0,0,0,659,417,0,0,0,158.03,0,
273,TK Curran,0,0,0,0,1,0,0,0,3,0,0,0,24,0,0,0,31,0,0,0,0,1,3,24,31,0,4,7.75
274,TL Seifert,2,24,0,0,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,100,0,
275,TM Head,0,0,0,567,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,567,307,0,0,0,184.69,0,
276,TS Mills,0,0,0,0,0,3,0,0,0,6,0,0,0,107,0,0,0,200,0,0,0,3,6,107,200,0,17.5,11.43
277,TU Deshpande,0,0,0,0,0,0,1,2,0,1,21,17,0,43,368,310,0,72,623,469,0,3,39,721,1164,0,120.1,9.69
278,Tanush Kotian,0,0,0,24,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,24,32,0,0,0,75,0,
279,Tilak Varma,0,397,343,416,0,313,226,291,0,0,0,0,0,0,0,0,0,0,0,0,1156,830,0,0,0,139.28,0,
280,UT Yadav,0,55,19,12,0,41,20,15,0,16,1,8,0,297,116,129,0,378,193,215,86,76,25,542,786,113.16,90.2,8.71
281,Umran Malik,0,4,19,0,0,8,8,0,2,22,5,0,75,313,124,7,99,492,231,16,23,16,29,519,838,143.75,86.3,9.71
282,V Kohli,339,341,639,741,288,306,473,497,0,0,0,0,0,0,0,0,0,0,0,0,2060,1564,0,0,0,131.71,0,
283,V Shankar,44,19,301,83,40,36,199,75,3,0,0,0,66,10,0,0,93,16,0,0,447,350,3,76,109,127.71,12.4,8.79
284,V Viyaskanth,0,0,0,7,0,0,0,5,0,0,0,1,0,0,0,60,0,0,0,94,7,5,1,60,94,140,10,9.4
285,VG Arora,0,5,3,1,0,14,2,1,0,3,5,11,0,110,107,201,0,169,164,313,9,17,19,418,646,52.94,69.4,9.31
286,VR Iyer,370,182,404,370,299,175,288,238,3,0,0,0,54,24,0,6,76,46,0,28,1326,1000,3,84,150,132.6,14,10.71
287,Vijaykumar Vyshak,0,0,13,1,0,0,10,3,0,0,9,4,0,0,153,90,0,0,262,147,14,13,13,243,409,107.69,40.3,10.15
288,Virat Singh,15,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,26,0,0,0,57.69,0,
289,Vishnu Vinod,0,0,37,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,37,32,0,0,0,115.62,0,
290,Vivrant Sharma,0,0,69,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,69,49,0,0,0,140.82,0,
291,WD Parnell,0,0,2,0,0,0,6,0,0,0,9,0,0,0,157,0,0,0,244,0,2,6,9,157,244,33.33,26.1,9.35
292,WG Jacks,0,0,0,230,0,0,0,133,0,0,0,2,0,0,0,55,0,0,0,102,230,133,2,55,102,172.93,9.1,11.21
293,WP Saha,123,317,371,136,129,266,297,120,0,0,0,0,0,0,0,0,0,0,0,0,947,812,0,0,0,116.63,0,
294,Washington Sundar,13,101,60,0,20,76,62,1,2,6,3,1,79,170,106,30,101,242,146,73,174,159,12,385,562,109.43,64.1,8.77
295,YBK Jaiswal,249,258,625,435,168,198,397,288,0,0,0,0,0,0,0,0,0,0,0,0,1567,1051,0,0,0,149.1,0,
296,YS Chahal,10,5,0,0,27,8,0,0,18,27,21,18,274,429,326,362,322,566,445,565,15,35,84,1391,1898,42.86,231.5,8.2
297,YV Dhull,0,0,16,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,16,23,0,0,0,69.57,0,
298,Yash Dayal,0,0,0,0,0,1,0,0,0,11,2,15,0,205,88,322,0,309,169,510,0,1,28,615,988,0,102.3,9.66
299,Yudhvir Singh,0,0,1,21,0,0,2,14,0,0,3,1,0,0,50,24,0,0,82,52,22,16,4,74,134,137.5,12.2,10.98
